name,calories,protein,carbs,fat,sugar,benefits,cons,advice
squid fried,140,14.4,6.2,6.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
oyster raw,41,4.7,2.5,1.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
abalone,89,14.5,5.1,0.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
queen crab raw,25,5.2,0.0,0.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
whelk cooked,78,13.5,4.4,0.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
oyster cooked,41,4.7,2.5,1.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
eastern oyster cooked,8,0.7,0.7,0.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
blue mussels cooked,344,47.6,14.8,9.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
octopus raw,23,4.2,0.6,0.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
spiny lobster cooked,233,43.0,5.1,3.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
blue mussels raw,129,17.9,5.5,3.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
queen crab cooked,98,20.2,0.0,1.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
dungeness crab cooked,140,28.3,1.2,1.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
dungeness crab raw,140,28.4,1.2,1.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
shrimp fried,52,1.3,4.8,3.2,0.086,Contains nutrition,Depends on quantity,Maintain balanced diet
shrimp raw,4,0.7,0.041,0.023,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
blue crab cooked,71,15.2,0.0,0.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
shrimp imitation,29,3.5,2.6,0.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
conch baked,165,33.4,2.2,1.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
squid raw,26,4.4,0.9,0.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
scallop raw,10,1.8,0.5,0.091,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lobster raw,116,24.8,0.0,1.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
scallop imitation,28,3.6,3.0,0.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
blue crab raw,18,3.8,0.018,0.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
whelk raw,39,6.7,2.2,0.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
spiny lobster raw,234,43.1,5.1,3.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
clams canned,227,38.8,9.4,2.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lobster cooked,134,28.5,0.0,1.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
eastern oyster fried,29,1.3,1.7,1.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
clams raw,195,33.3,8.1,2.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
octopus cooked,139,25.3,3.7,1.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
eastern oyster raw,8,0.7,0.8,0.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
oyster fried,61,2.1,6.7,3.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
sturgeon smoked,49,8.8,0.0,1.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chinook salmon smoked,159,24.9,0.0,5.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cisco smoked,50,4.6,0.0,3.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
haddock smoked,33,7.1,0.0,0.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
whitefish smoked,147,31.8,0.0,1.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
red salmon sockeye filets smoked,373,65.5,0.0,12.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
eggnog,224,11.6,20.4,10.6,20.4,Contains nutrition,Depends on quantity,Maintain balanced diet
beer light,96,0.8,5.4,0.0,0.3,Contains nutrition,Depends on quantity,Maintain balanced diet
beer budweiser,12,0.1,0.9,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
weizenbier erdinger,220,0.0,0.0,18.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beer light budweiser,9,0.066,0.4,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beer,142,1.5,11.7,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
root beer,202,0.0,52.3,0.0,52.3,Contains nutrition,Depends on quantity,Maintain balanced diet
whiskey sour mix,26,0.051,6.3,0.072,6.3,Contains nutrition,Depends on quantity,Maintain balanced diet
whiskey sour,158,0.0,13.9,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
tequila sunrise,232,0.6,23.8,0.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
daiquiri,112,0.035,4.2,0.036,3.3,Contains nutrition,Depends on quantity,Maintain balanced diet
pina colada,245,0.6,32.0,2.7,31.5,Contains nutrition,Depends on quantity,Maintain balanced diet
whiskey,58,0.0,0.1,0.0,0.078,Contains nutrition,Depends on quantity,Maintain balanced diet
rum,49,0.0,0.0,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
vodka smirnoff,13,0.0,2.0,0.4,0.082,Contains nutrition,Depends on quantity,Maintain balanced diet
coffee liqueur,96,0.041,13.8,0.038,13.7,Contains nutrition,Depends on quantity,Maintain balanced diet
gin,53,0.0,0.0,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
dessert wine sweet,165,0.2,14.1,0.0,8.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chenin blanc white wine,118,0.1,4.9,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
gamay red wine,115,0.1,3.5,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
late harvest white wine,172,0.1,20.6,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
gewurztraminer white wine,119,0.1,3.8,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
burgundy red wine,172,0.1,7.4,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
zinfandel red wine,129,0.1,4.2,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
muller thurgau white wine,112,0.1,5.2,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
mouvedre red wine,129,0.1,3.9,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
table wine,123,0.1,4.0,0.0,1.2,Contains nutrition,Depends on quantity,Maintain balanced diet
wine light,73,0.1,1.7,0.0,1.7,Contains nutrition,Depends on quantity,Maintain balanced diet
white wine,121,0.1,3.8,0.0,1.4,Contains nutrition,Depends on quantity,Maintain balanced diet
petite sirah red wine,125,0.1,3.9,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
non alcoholic wine,2,0.1,0.3,0.0,0.3,Contains nutrition,Depends on quantity,Maintain balanced diet
pinot noir red wine,121,0.1,3.4,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pinot gris grigio white wine,122,0.1,3.0,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
riesling white wine,118,0.1,5.5,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
barbera red wine,170,0.1,5.6,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lemberger red wine,118,0.1,3.6,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
merlot red wine,122,0.1,3.7,0.0,0.9,Contains nutrition,Depends on quantity,Maintain balanced diet
sangiovese red wine,126,0.1,3.9,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
sauvignon blanc white wine,119,0.1,3.0,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
syrah red wine,122,0.1,3.8,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
carignane red wine,370,0.4,12.0,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pinot blanc white wine,119,0.1,2.9,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
semillon white wine,121,0.1,4.6,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
dessert wine dry,760,1.0,58.4,0.0,5.5,Contains nutrition,Depends on quantity,Maintain balanced diet
red wine,125,0.1,3.8,0.0,0.9,Contains nutrition,Depends on quantity,Maintain balanced diet
cabernet sauvignon red wine,166,0.1,5.2,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
muscat white wine,123,0.1,7.8,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cooking wine,2,0.028,0.3,0.0,0.09,Contains nutrition,Depends on quantity,Maintain balanced diet
chardonnay white wine,168,0.1,4.3,0.0,1.9,Contains nutrition,Depends on quantity,Maintain balanced diet
claret red wine,122,0.1,4.4,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
rice sake,197,0.7,7.4,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
fume blanc white wine,121,0.1,3.3,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cabarnet franc red wine,122,0.1,3.6,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate frosting,81,0.2,13.0,3.6,11.8,Contains nutrition,Depends on quantity,Maintain balanced diet
white sugar,19,0.0,5.0,0.0,4.9,Contains nutrition,Depends on quantity,Maintain balanced diet
egg substitute,115,24.0,4.8,0.0,4.8,Contains nutrition,Depends on quantity,Maintain balanced diet
agave syrup,21,0.025,5.3,0.081,4.7,Contains nutrition,Depends on quantity,Maintain balanced diet
splenda sweetener,336,0.0,91.2,0.0,80.3,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla extract,12,0.0,0.5,0.069,0.5,Contains nutrition,Depends on quantity,Maintain balanced diet
egg yolk dried,27,1.3,0.054,2.3,0.002,Contains nutrition,Depends on quantity,Maintain balanced diet
granulated sugar,16,0.0,4.2,0.0,4.2,Contains nutrition,Depends on quantity,Maintain balanced diet
baking chocolate,145,3.7,8.7,15.2,0.3,Contains nutrition,Depends on quantity,Maintain balanced diet
bakers yeast,18,1.4,3.1,0.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
fondant,106,0.0,26.4,0.009,25.2,Contains nutrition,Depends on quantity,Maintain balanced diet
brown sugar,16,0.024,4.1,0.0,4.1,Contains nutrition,Depends on quantity,Maintain balanced diet
white frosting dry,768,4.8,196.4,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
maple sugar,42,0.036,10.9,0.061,10.2,Contains nutrition,Depends on quantity,Maintain balanced diet
fructose sweetener,15,0.0,4.2,0.0,3.9,Contains nutrition,Depends on quantity,Maintain balanced diet
saccharin sweetener,360,0.9,89.1,0.0,85.2,Contains nutrition,Depends on quantity,Maintain balanced diet
egg white raw,17,3.6,0.2,0.063,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
turbinado sugar,18,0.0,4.6,0.0,4.6,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla frosting,1931,0.0,313.7,75.0,291.5,Contains nutrition,Depends on quantity,Maintain balanced diet
aspartame sweetener,365,2.2,89.1,0.0,80.7,Contains nutrition,Depends on quantity,Maintain balanced diet
egg raw,80,7.0,0.4,5.3,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
pineapple topping,860,0.3,225.8,0.3,71.4,Contains nutrition,Depends on quantity,Maintain balanced diet
egg white dried,26,5.8,0.3,0.087,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
egg yolk raw,55,2.7,0.6,4.5,0.08,Contains nutrition,Depends on quantity,Maintain balanced diet
baking soda,0,0.0,0.0,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
egg dried,30,2.4,0.047,2.2,0.05,Contains nutrition,Depends on quantity,Maintain balanced diet
strawberry topping,53,0.014,13.9,0.096,5.7,Contains nutrition,Depends on quantity,Maintain balanced diet
bakers yeast dry,13,1.6,1.6,0.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
almond paste,1040,20.4,108.5,63.0,82.3,Contains nutrition,Depends on quantity,Maintain balanced diet
cream of tartar,8,0.0,1.8,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
popover dry mix,631,17.7,120.7,7.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
egg substitute powder,126,15.7,6.2,3.7,6.2,Contains nutrition,Depends on quantity,Maintain balanced diet
gelatin powder,17,4.3,0.0,0.086,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
tapioca pearls,544,0.3,134.8,0.093,5.1,Contains nutrition,Depends on quantity,Maintain balanced diet
baking powder,2,0.0,1.3,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
egg boiled,93,7.5,0.7,6.4,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
millet flour,444,12.8,86.9,5.1,2.0,Contains nutrition,Depends on quantity,Maintain balanced diet
triticale flour,439,17.1,95.1,2.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
corn flour white,414,9.6,87.3,4.2,1.8,Contains nutrition,Depends on quantity,Maintain balanced diet
rice flour brown,574,11.4,120.8,4.4,1.3,Contains nutrition,Depends on quantity,Maintain balanced diet
sorghum flour,437,9.5,93.7,4.0,2.3,Contains nutrition,Depends on quantity,Maintain balanced diet
cornmeal whole grain,442,9.9,93.8,4.4,0.8,Contains nutrition,Depends on quantity,Maintain balanced diet
cornmeal white,581,11.2,124.7,2.7,2.5,Contains nutrition,Depends on quantity,Maintain balanced diet
barley flour,511,15.5,110.3,2.4,1.2,Contains nutrition,Depends on quantity,Maintain balanced diet
safflower seed meal,97,10.1,13.8,0.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
sesame flour,658,38.5,33.3,46.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
whole grain wheat flour,408,15.9,86.4,3.0,0.5,Contains nutrition,Depends on quantity,Maintain balanced diet
corn flour yellow,422,8.1,89.9,4.5,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
corn flour whole grain,422,8.1,89.9,4.5,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
cottonseed flour low fat,94,14.1,10.2,0.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
sunflower seed flour,13,1.9,1.4,0.013,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
sesame meal,160,4.8,7.4,13.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
acorn flour,626,9.4,68.3,37.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
rice flour white,578,9.4,126.6,2.2,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
sesame flour low fat,94,14.2,10.0,0.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
potato flour,571,11.0,133.0,0.5,5.6,Contains nutrition,Depends on quantity,Maintain balanced diet
cornmeal yellow,581,11.2,124.7,2.7,2.5,Contains nutrition,Depends on quantity,Maintain balanced diet
rye flour,364,10.0,78.2,1.4,0.9,Contains nutrition,Depends on quantity,Maintain balanced diet
arrowroot flour,457,0.4,112.8,0.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chickpea flour,356,20.6,53.2,6.2,10.0,Contains nutrition,Depends on quantity,Maintain balanced diet
wheat flour,455,12.9,95.4,1.2,0.3,Contains nutrition,Depends on quantity,Maintain balanced diet
cornstarch,488,0.3,116.8,0.03,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
carob flour,13,0.3,5.3,0.061,2.9,Contains nutrition,Depends on quantity,Maintain balanced diet
buckwheat flour,402,15.1,84.7,3.7,3.1,Contains nutrition,Depends on quantity,Maintain balanced diet
pecan pie,503,6.0,63.7,27.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
apple pie,331,3.0,46.4,15.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla wafer pie crust,935,6.5,88.4,63.7,12.9,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate pie crust,881,11.1,117.4,40.8,47.9,Contains nutrition,Depends on quantity,Maintain balanced diet
apple strudel,195,2.3,29.2,8.0,18.3,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate snack cake,200,1.8,30.2,8.0,18.9,Contains nutrition,Depends on quantity,Maintain balanced diet
fruit fried pie,404,3.8,54.5,20.6,27.4,Contains nutrition,Depends on quantity,Maintain balanced diet
pumpkin pie,316,7.0,40.9,14.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
corn cake,35,0.7,7.5,0.2,2.1,Contains nutrition,Depends on quantity,Maintain balanced diet
sponge snack cake,157,1.5,26.9,4.8,15.7,Contains nutrition,Depends on quantity,Maintain balanced diet
danish pastry with nuts,280,4.6,29.7,16.4,16.8,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate cream pie,301,2.6,33.3,19.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
angel food cake,72,1.7,16.2,0.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lemon meringue pie,362,4.8,49.7,16.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
danish pastry with cinnamon,349,4.8,46.9,16.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cinnamon coffeecake,238,3.9,26.6,13.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cheesecake,257,4.4,20.4,18.0,17.4,Contains nutrition,Depends on quantity,Maintain balanced diet
fruitcake,139,1.2,26.5,3.9,11.8,Contains nutrition,Depends on quantity,Maintain balanced diet
egg custard,293,14.2,31.0,12.9,31.0,Contains nutrition,Depends on quantity,Maintain balanced diet
mince pie,477,4.3,79.2,17.8,46.7,Contains nutrition,Depends on quantity,Maintain balanced diet
yellow cake with chocolate frosting,546,4.6,79.7,25.6,56.5,Contains nutrition,Depends on quantity,Maintain balanced diet
danish pastry with fruit,335,4.8,45.1,15.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
white cake with coconut frosting,399,4.9,70.8,11.5,64.3,Contains nutrition,Depends on quantity,Maintain balanced diet
danish pastry with cheese,353,5.8,28.7,24.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
graham cracker pie crust,917,9.3,117.7,45.4,33.2,Contains nutrition,Depends on quantity,Maintain balanced diet
blueberry pie,360,4.0,49.2,17.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
yellow cake with vanilla frosting,239,2.2,37.6,9.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pie crust,121,1.5,10.9,8.0,0.045,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate cake with chocolate frosting,537,4.8,72.9,27.7,55.1,Contains nutrition,Depends on quantity,Maintain balanced diet
cheese coffeecake,258,5.3,33.7,11.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla cream pie,350,6.0,41.1,18.1,16.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pineapple cake,367,4.0,58.1,13.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
peach pie,262,2.2,38.5,11.7,19.0,Contains nutrition,Depends on quantity,Maintain balanced diet
fruit coffeecake,156,2.6,25.8,5.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pound cake,116,1.7,14.6,6.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pound cake bread,215,3.9,28.2,9.6,10.0,Contains nutrition,Depends on quantity,Maintain balanced diet
white cake,264,4.0,42.3,9.2,26.3,Contains nutrition,Depends on quantity,Maintain balanced diet
coffeecake with chocolate frosting,298,4.5,48.4,9.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
popcorn cake,38,1.0,8.0,0.3,0.001,Contains nutrition,Depends on quantity,Maintain balanced diet
banana cream pie,3190,52.2,390.2,161.3,143.0,Contains nutrition,Depends on quantity,Maintain balanced diet
baked apple pie mcdonalds,91,0.9,12.3,4.4,4.9,Contains nutrition,Depends on quantity,Maintain balanced diet
sponge cake,187,4.6,36.4,2.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
yellow cake,245,3.6,36.0,9.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
shortcake,98,1.7,13.7,4.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cherry pie,486,5.0,69.3,22.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
dutch apple pie,397,3.0,61.0,15.8,30.2,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate cake,352,5.0,50.7,14.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
marshmallow,64,0.4,16.3,0.033,11.5,Contains nutrition,Depends on quantity,Maintain balanced diet
sugar apple,72,1.6,18.2,0.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
toffee,67,0.1,7.8,3.9,7.6,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla fudge with nuts,123,0.8,21.1,3.9,20.1,Contains nutrition,Depends on quantity,Maintain balanced diet
peanuts chocolate coated,21,0.5,2.0,1.3,1.5,Contains nutrition,Depends on quantity,Maintain balanced diet
caramel with nuts chocolate coated,66,1.3,8.5,2.9,5.8,Contains nutrition,Depends on quantity,Maintain balanced diet
gingerbread,263,2.9,36.4,12.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
rolo nestle,24,0.009,0.2,1.0,0.078,Contains nutrition,Depends on quantity,Maintain balanced diet
vanilla fudge,108,0.3,23.2,1.5,22.6,Contains nutrition,Depends on quantity,Maintain balanced diet
halavah,328,8.7,42.3,15.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
praline,189,1.3,23.2,10.1,21.8,Contains nutrition,Depends on quantity,Maintain balanced diet
fruit juice bar,67,0.9,15.6,0.089,13.5,Contains nutrition,Depends on quantity,Maintain balanced diet
peanut brittle,138,2.1,20.2,5.4,14.5,Contains nutrition,Depends on quantity,Maintain balanced diet
butterscotch,21,0.079,4.8,0.2,4.3,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate coffee beans,155,2.1,15.6,9.4,14.4,Contains nutrition,Depends on quantity,Maintain balanced diet
nougat with almonds,56,0.5,12.9,0.2,11.7,Contains nutrition,Depends on quantity,Maintain balanced diet
carob,135,2.0,14.1,7.8,8.5,Contains nutrition,Depends on quantity,Maintain balanced diet
peanut butter fudge,62,0.6,12.4,1.1,11.7,Contains nutrition,Depends on quantity,Maintain balanced diet
sugar coated almonds,17,0.4,2.4,0.6,2.2,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate coated marshmallow,118,1.1,19.0,4.7,12.5,Contains nutrition,Depends on quantity,Maintain balanced diet
raisins chocolate coated,390,4.1,68.4,14.8,62.2,Contains nutrition,Depends on quantity,Maintain balanced diet
chewing gum sugarless,5,0.0,1.9,0.013,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chewing gum,11,0.0,2.9,0.032,2.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate syrup,109,0.8,25.4,0.4,19.4,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate fudge syrup,67,0.9,12.0,1.7,6.6,Contains nutrition,Depends on quantity,Maintain balanced diet
m ms milk chocolate mars,207,1.8,29.9,8.9,26.7,Contains nutrition,Depends on quantity,Maintain balanced diet
milk chocolate with almonds,216,3.7,21.9,14.1,18.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate fudge,70,0.4,13.0,1.8,12.4,Contains nutrition,Depends on quantity,Maintain balanced diet
milk chocolate with rice cereal,0,0.0,0.0,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
m ms peanut chocolate mars,93,1.7,10.9,4.7,9.1,Contains nutrition,Depends on quantity,Maintain balanced diet
dark chocolate,165,1.5,18.0,9.7,13.8,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate semisweet,806,7.1,107.4,50.4,91.6,Contains nutrition,Depends on quantity,Maintain balanced diet
after eight mints nestle,36,0.1,6.7,1.0,5.6,Contains nutrition,Depends on quantity,Maintain balanced diet
milk chocolate,37,0.5,4.2,2.1,3.6,Contains nutrition,Depends on quantity,Maintain balanced diet
white chocolate,162,1.8,17.8,9.6,17.7,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate,208,1.6,24.8,14.0,21.1,Contains nutrition,Depends on quantity,Maintain balanced diet
twix mars,146,1.4,18.8,7.2,14.0,Contains nutrition,Depends on quantity,Maintain balanced diet
kit kat nestle,62,0.7,7.6,3.3,6.5,Contains nutrition,Depends on quantity,Maintain balanced diet
snickers mars,280,4.3,35.1,13.6,28.8,Contains nutrition,Depends on quantity,Maintain balanced diet
milky way mars,264,2.3,41.3,10.0,34.6,Contains nutrition,Depends on quantity,Maintain balanced diet
clif bar,235,10.0,44.5,4.0,21.5,Contains nutrition,Depends on quantity,Maintain balanced diet
gum drops,18,0.0,4.4,0.042,3.5,Contains nutrition,Depends on quantity,Maintain balanced diet
skittles wild berry mars,249,0.1,56.3,2.6,47.1,Contains nutrition,Depends on quantity,Maintain balanced diet
skittles original mars,251,0.1,56.3,2.7,47.0,Contains nutrition,Depends on quantity,Maintain balanced diet
skittles tropical mars,251,0.1,56.3,2.7,47.0,Contains nutrition,Depends on quantity,Maintain balanced diet
fruit leather,52,0.029,12.0,0.4,6.9,Contains nutrition,Depends on quantity,Maintain balanced diet
taffy,60,0.087,13.7,0.5,10.3,Contains nutrition,Depends on quantity,Maintain balanced diet
eisbonbons mac iver,23,0.0,0.0,0.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
caramels,39,0.5,7.8,0.8,6.6,Contains nutrition,Depends on quantity,Maintain balanced diet
hard candy,24,0.0,5.9,0.067,3.8,Contains nutrition,Depends on quantity,Maintain balanced diet
jellybeans,4,0.0,1.0,0.043,0.8,Contains nutrition,Depends on quantity,Maintain balanced diet
jellies,56,0.005,14.7,0.069,10.8,Contains nutrition,Depends on quantity,Maintain balanced diet
wheat germ toasted,115,8.7,14.9,3.2,2.3,Contains nutrition,Depends on quantity,Maintain balanced diet
crispy brown rice,124,2.3,27.5,1.1,2.9,Contains nutrition,Depends on quantity,Maintain balanced diet
bran flakes asda,109,0.0,0.2,0.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
amaranth cooked,251,9.3,46.0,3.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
triticale,645,25.1,138.5,4.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
barley raw,42,1.2,9.3,0.1,0.094,Contains nutrition,Depends on quantity,Maintain balanced diet
bulgur dry,171,6.1,37.9,0.7,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
cottonseed kernels roasted,754,48.6,32.6,54.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
rice bran,373,15.8,58.6,24.6,1.1,Contains nutrition,Depends on quantity,Maintain balanced diet
chaptti roti indian bread,491,7.0,0.089,2.5,68.4,Contains nutrition,Depends on quantity,Maintain balanced diet
quinoa cooked,222,8.1,39.4,3.6,1.6,Contains nutrition,Depends on quantity,Maintain balanced diet
dar vida swiss original,116,0.0,0.5,3.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
teff cooked,255,9.8,50.0,1.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
couscous dry,650,22.1,134.0,1.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
weetabix weetabix,2078,0.0,0.0,11.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
oat bran cooked,88,7.0,25.1,1.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
